SpeciesName,CommonName
Alstroemeria pulchella,"Parrot-Lily, Parrot-Flower, Peruvian-Lily, Lily-Of-The-Incas"
Alternanthera caracasana,"Mat Chaff-Flower, Washer-Woman"
Alternanthera paronichyoides,Smooth Joyweed
Alternanthera philoxeroides,Alligator-Weed
Alternanthera pungens,Khakiweed
Alternanthera sessilis,Sessile Joyweed
Alysicarpus ovalifolius,"Alyce-Clover, False Moneywort"
Alyssum alyssoides,"Pale Madwort, Yellow Alyssum, Pale Alyssum"
Amaranthus albus,"Tumbleweed Amaranth, Prostrate Pigweed, Tumble Pigweed"
Amaranthus australis,"Southern Water-Hemp, Southern Amaranth"
Amaranthus blitoides,"Mat Amaranth, Prostrate Pigweed, Matweed Amaranth"
Amaranthus blitum,"Purple Amaranth, Livid Amaranth"
Amaranthus crassipes,"Spreading Amaranth, Club-Foot Amaranth"
Amaranthus deflexus,"Large-Fruit Amaranth, Argentina Amaranth"
Amaranthus hybridus,"Smooth Amaranth, Smooth Green Amaranth, Slim Amaranth, Smooth Pigweed"
Amaranthus muricatus,African Amaranth
Amaranthus palmeri,"Careless-Weed, Palmer’s Amaranth, Palmer’s Pigweed"
Amaranthus powellii,"Powell’s Amaranth, Powell’s Green Amaranth, Powell’s Pigweed"
Amaranthus retroflexus,"Red-Root Amaranth, Red-Root Pigweed, Rough Pigweed"
Amaranthus spinosus,"Spiny Amaranth, Thorny Amaranth"
Amaranthus tuberculatus,"Rough-Fruit Amaranth, Tall Amaranth, Inland Water-Hemp"
Amaranthus viridis,"Slender Amaranth, Tropical Green Amaranth"
Ambrosia artemisiifolia,"Common Ragweed, Annual Ragweed"
Ambrosia bidentata,Lance-Leaf Ragweed
Ambrosia psilostachya,Perennial Ragweed
Ambrosia trifida,"Giant Ragweed, Great Ragweed"
Amelanchier arborea,"Downy Serviceberry, Downy Juneberry, Common Serviceberry"
Amelanchier canadensis,"Canadian Serviceberry, Shadblow Serviceberry, Eastern Serviceberry, Thicket Shadbush"
Amelanchier laevis,"Allegheny Serviceberry, Smooth Serviceberry, Smooth-Leaf Shadbush"
Amelanchier stolonifera,"Running Serviceberry, Dwarf Serviceberry, Running Juneberry"
Amianthium muscitoxicum,Fly-Poison
Ammannia auriculata,Eared Redstem
Ammannia coccinea,"Valley Redstem, Scarlet-Loosestrife"
Ammannia latifolia,Pink Redstem
Ammi majus,"Bishop’s-Weed, Large Bullwort"
Ammi visnaga,Toothpick-Weed
Ammoselinum butleri,Butler’s Sand-Parsley
Amorpha fruticosa,"Tall Indigo-Bush, False Indigo, Bastard Indigo"
Amorpha glabra,"Mountain False Indigo, Mountain Indigo-Bush, Appalachian Indigo-Bush"
Amorpha nitens,"Shining False Indigo, Shining Indigo-Bush, Dark Indigo-Bush"
Ampelopsis arborea,Peppervine
Ampelopsis brevipedunculata,"Porcelain-Berry, Amur Peppervine, Porcelain-Vine"
Ampelopsis cordata,"Raccoon-Grape, Heartleaf Peppervine, False Grape"
Amphiachyris dracunculoides,"Prairie Broomweed, Broom Snakeroot"
Amphicarpaea bracteata var. bracteata,American Hog-Peanut
Amphicarpaea bracteata var. comosa,Lowland Hog-Peanut
Amphicarpum muehlenbergianum,"Florida Goober Grass, Perennial Goober Grass, Blue Maiden-Cane, Florida Peanut-Grass"
Amsonia ciliata,"Fringed Bluestars, Sandhill Bluestars"
Amsonia rigida,"Stiff Bluestars, Pond Bluestars"
Amsonia sp.,Black Belt Bluestars
Amsonia tabernaemontana,Eastern Bluestars
Anagallis arvensis,"Scarlet Pimpernel, Common Pimpernel, Poor-Man’s-Weatherglass"
Anagallis minima,"Chaffweed, False Pimpernel"
Andropogon arctatus,Pinewoods Bluestem
Andropogon brachystachyus,Short-Spike Bluestem
Andropogon capillipes,"Dryland White Bluestem, Chalky Bluestem"
Andropogon dealbatus,Wetland White Bluestem
Andropogon elliottii,"Elliott’s Bluestem, Elliott's Broom-Sedge, Elliot’s Beardgrass"
Andropogon gerardii,"Big Bluestem, Turkey-Foot"
Andropogon glaucopsis,"Purple Bluestem, Coastal Bluestem"
Andropogon glomeratus,Tufted Bushy Bluestem
Andropogon hirsutior,Hairy Bushy Bluestem
Andropogon longiberbis,"Long-Beard Bluestem, Hairy Bluestem"
Andropogon mohrii,"Mohr’s Bluestem, Tawny Bluestem, Bog Bluestem"
Andropogon perangustatus,Narrowleaf Bluestem
Andropogon tenuispatheus,"Common Bushy Bluestem, Bushy Beardgrass, Bushy Broom Grass"
Andropogon ternarius,"Split-Beard Bluestem, Split-Beard Broom-Sedge"
Andropogon tracyi,Tracy’s Bluestem
Andropogon virginicus,"Broom-Sedge, Virginia Bluestem, Old-Field Broomstraw, Broomsedge Bluestem"
Anemone acutiloba,"Sharp-Lobed Liverleaf, Sharp-Lobed Hepatica"
Anemone americana,"Round-Lobed Liverleaf, Round-Lobed Hepatica"
Anemone berlandieri,"Ten-Petal Thimbleweed, Texas Anemone, Glade Windflower, Ten-Petal Anemone"
Anemone caroliniana,"Carolina Anemone, Prairie Anemone, Carolina Thimbleweed"
Anemone quinquefolia,"Wood Anemone, Nightcaps"
Anemone virginiana,"Tall Thimbleweed, Tall Anemone"
Anethum graveolens,"Dill, Dillweed"
Angelica venenosa,Hairy Angelica
Anoda cristata,"Crested Anoda, Spurred Anoda, Violettas"
Antennaria parlinii ssp. fallax,Big-Head Pussytoes
Antennaria parlinii ssp. parlinii,Parlin’s Pussytoes
Antennaria plantaginifolia,"Plantain-Leaf Pussytoes, Woman’s-Tobacco"
Antennaria solitaria,"Single-Head Pussy-Toes, Solitary Pussytoes"
Anthemis arvensis,"Corn Chamomile, Scentless Chamomile, Field Chamomile"
Anthemis cotula,"Stinking Chamomile, Stinking Mayweed, Dog-Fennel"
Anthenantia rufa,Purple Silkyscale
Anthenantia villosa,Green Silkyscale
Anthoxanthum aristatum,"Annual Vernal Grass, Small Sweet Vernal Grass"
Anthoxanthum odoratum,Sweet Vernal Grass
Anthriscus caucalis,"Bur-Chervil, Bur-Parsley"
Antigonon leptopus,"Coral-Vine, Queen’s-Jewels, Love-Chain, Confederate-Vine, Mexican-Creeper"
Antirrhinum majus,"Garden Snapdragon, Common Snapdragon"
Aphanes microcarpa,Slender Parsley-Piert
Apios americana,"American Groundnut, American Potato-Bean"
Apios priceana,"Price's Potato-Bean, Kentucky Groundnut, Traveler’s-Delight"
Aplectrum hyemale,"Adam-And-Eve, Putty-Root"
Apocynum androsaemifolium,Spreading Dogbane
Apocynum cannabinum,"Indian-Hemp, Hemp Dogbane"
Apteria aphylla,Nodding-Nixie
Aquilegia canadensis,"Eastern Red Columbine, Canadian Columbine"
Arabidopsis lyrata,"Lyre-Leaf Rockcress, Dwarf Rockcress, Lyrate Rockcress"
Arabidopsis thaliana,"Mouse-Ear Cress, Thale Cress"
Arabis georgiana,"Georgia Rockcress, Georgia Eared Rockcress"
Arabis pycnocarpa,Cream-Flower Rockcress
Arachis glabrata,"Perennial Peanut, Ornamental Peanut, Rhizoma Peanut, Creeping Forage Peanut"
Arachis hypogaea,"Peanut, Groundnut, Goober-Pea"
Aralia racemosa,"American Spikenard, Hungry-Root"
Aralia spinosa,"Devil’s-Walkingstick, Hercules-Club, Prickly-Ash"
Arctium lappa,Greater Burdock
Arctium minus,"Lesser Burdock, Common Burdock"
Ardisia crenata,"Hen’s-Eyes, Coral Ardisia, Coralberry, Spiceberry"
Arenaria lanuginosa,Spreading Sandwort
Arenaria serpyllifolia,Thyme-Leaf Sandwort
Argemone albiflora,"Blue-Stem Prickly-Poppy, White Prickly-Poppy, Carolina-Poppy"
Argemone mexicana,"Mexican Prickly-Poppy, Yellow Prickly-Poppy, Mexican-Poppy"
Arisaema dracontium,"Green-Dragon, Dragon-Root"
Arisaema pusillum,"Small Jack-In-The-Pulpit, Peck's Jack-In-The-Pulpit"
Arisaema quinatum,"Five-Leaf Jack-In-The-Pulpit, Southern Jack-In-The-Pulpit, Preacher John"
Arisaema triphyllum,"Common Jack-In-The-Pulpit, Indian-Turnip, Brown-Dragon"
Aristida condensata,"Piedmont Three-Awn, Big Three-Awn, Sandhill Three-Awn"
Aristida curtissii,Curtiss’s Three-Awn
Aristida dichotoma,"Church-Mouse Three-Awn, Poverty Grass"
Aristida lanosa,Woolly-Sheath Three-Awn
Aristida longespica var. geniculata,"Red Three-Awn, Plains Three-Awn, False Arrow-Feather"
Aristida longespica var. longespica,"Slim-Spike Three-Awn, Slender Three-Awn"
Aristida mohrii,Mohr’s Three-Awn
Aristida oligantha,"Prairie Three-Awn, Old-Field Three-Awn"
Aristida palustris,Longleaf Three-Awn
Aristida purpurascens,"Arrow-Feather Three-Awn, Purple Three-Awn, Arrow Grass, Arrow-Feather"
Aristida simpliciflora,"Southern Three-Awn, Chapman's Three-Awn"
Aristida spiciformis,"Bottlebrush Three-Awn, Spike Three-Awn"
Aristida stricta var. beyrichiana,"Southern Wiregrass, Beyrich Three-Awn"
Aristida tenuispica,Hillsboro Three-Awn
Aristida tuberculosa,"Seaside Three-Awn, Seabeach Needlegrass"
Aristida virgata,Wand-Like Three-Awn
Arivela viscosa,Asian Spider-Flower
Arnica acaulis,"Common Leopardbane, Southeastern Arnica"
Arnoglossum atriplicifolium,Pale Indian-Plantain
Arnoglossum diversifolium,Variable-Leaf Indian-Plantain
Arnoglossum ovatum,"Broadleaf Indian-Plantain, Egg-Leaf Indian-Plantain, Ovate- Leaf Indian-Plantain"
Arnoglossum plantagineum,Prairie Indian-Plantain
Arnoglossum reniforme,Great Indian-Plantain
Arnoglossum sulcatum,"Georgia Indian-Plantain, Groove-Stem Indian-Plantain"
Aronia arbutifolia,Red Chokeberry
Aronia melanocarpa,Black Chokeberry
Aronia prunifolia,Purple Chokeberry
Arrhenatherum elatius var. bulbosum,"Tuber Oatgrass, Onion-Couch, Bulbous Oatgrass"
Arrhenatherum elatius var. elatius,Tall Oatgrass
Artemisia annua,"Sweet Wormwood, Sweet-Annie, Sweet Sagewort"
Artemisia ludoviciana,"White Sagebrush, Silver Wormwood, Western Mugwort"
Artemisia vulgaris,"Common Wormwood, Common Mugwort, Felon-Herb"
Arthraxon hispidus,"Small Carp Grass, Joint-Head"
Aruncus dioicus,"Eastern Goat’s-Beard, Bride’s-Feathers"
Arundinaria appalachiana,Hill Cane
Arundinaria gigantea,"River Cane, Giant Cane, Large Cane"
Arundinaria tecta,"Switch Cane, Small Cane"
Arundo donax,Giant-Reed
Asarum canadense,Canadian Wild Ginger
Asclepias amplexicaulis,"Clasping Milkweed, Blunt-Leaf Milkweed, Curly Milkweed"
Asclepias cinerea,Carolina Milkweed
Asclepias connivens,Large-Flower Milkweed
Asclepias exaltata,"Poke Milkweed, Tall Milkweed"
Asclepias hirtella,"Prairie Milkweed, Barrens Milkweed"
Asclepias humistrata,"Pinewoods Milkweed, Fleshy Milkweed"
Asclepias incarnata,Western Swamp Milkweed
Asclepias lanceolata,"Few-Flower Milkweed, Lanceolate Milkweed"
Asclepias longifolia,"Longleaf Milkweed, Savannah Milkweed"
Asclepias michauxii,Michaux’s Milkweed
Asclepias obovata,Pineland Milkweed
Asclepias perennis,"Aquatic Milkweed, Swamp-Forest Milkweed, Shore Milkweed"
Asclepias quadrifolia,Four-Leaf Milkweed
Asclepias rubra,Red Milkweed
Asclepias syriaca,Common Milkweed
Asclepias tuberosa,"Butterfly Milkweed, Common Butterfly-Weed, Pleurisy-Root, Chigger-Weed"
Asclepias variegata,"Red-Ring Milkweed, White Milkweed"
Asclepias verticillata,Eastern Whorled Milkweed
Asclepias viridiflora,"Green Comet Milkweed, Green-Flower Milkweed"
Asclepias viridis,"Green Antelope-Horn, Green Milkweed"
Asclepias viridula,Southern Milkweed
Asemeia grandiflora,Showy Milkwort
Asimina parviflora,"Small-Flower Pawpaw, Small-Fruit Pawpaw"
Asimina spatulata,"Slim-Leaf Pawpaw, Dog-Apples, Florida Dog-Banana"
Asimina triloba,"Common Pawpaw, Indian-Banana"
Asparagus aethiopicus,"South African Asparagus-Fern, Sprenger's Asparagus-Fern"
Asparagus officinalis,"Garden Asparagus, Wild Asparagus"
Aspidistra elatior,"Cast-Iron-Plant, Barroom-Plant"
Asplenium abscissum,"Cut-Leaf Spleenwort, Abscised Spleenwort"
Asplenium bradleyi,"Bradley’s Spleenwort, Cliff Spleenwort"
Asplenium monanthes,Single-Sorus Spleenwort
Asplenium montanum,Mountain Spleenwort
Asplenium pinnatifidum,Lobed Spleenwort
Asplenium platyneuron,"Ebony Spleenwort, Brown-Stem Spleenwort"
Asplenium resiliens,"Black-Stem Spleenwort, Little Ebony Spleenwort"
Asplenium rhizophyllum,Walking Fern
Asplenium ruta-muraria var. cryptolepis,"American Wall-Rue, Wall-Rue Spleenwort"
Asplenium scolopendrium var. americanum,American Hart’s-Tongue Fern
Asplenium trichomanes,Maidenhair Spleenwort
Asplenium tutwilerae,Tutwiler’s Spleenwort
Aster tataricus,Tatarian Aster
Astilbe biternata,Appalachian False Goat’s-Beard
Astragalus canadensis,Canadian Milk-Vetch
Astragalus obcordatus,Florida Milk-Vetch
Astragalus tennesseensis,Tennessee Milk-Vetch
Astragalus villosus,"Bearded Milk-Vetch, Southern Milk-Vetch"
Astranthium integrifolium,Entire-Leaf Western-Daisy
Astrolepis integerrima,"Southwestern Cloak Fern, Hybrid Cloak Fern, Star-Scale Cloak Fern"
Asystasia gangetica ssp. micrantha,"Chinese-Violet, Common Asystasia"
Athyrium asplenioides,"Southern Lady Fern, Lowland Lady Fern"
Atriplex mucronata,"Crested Saltbush, Seashore Orach, Seabeach Orach"
Atriplex rosea,"Tumbling Orach, Tumbling Saltweed, Red Orach"
Aureolaria flava var. flava,"Eastern Smooth Oak-Leach, Smooth Yellow Foxglove, Smooth Yellow False Foxglove"
Aureolaria flava var. macrantha,"Midwestern Smooth Oak-Leach, Midwestern False Foxglove"
Aureolaria laevigata,"Appalachian Oak-Leach, Entire-Leaf False Foxglove, Entire-Leaf Yellow False Foxglove"
Aureolaria patula,"Cumberland Oak-Leach, Spreading False Foxglove, Spreading Yellow False Foxglove"
Aureolaria pectinata,"Southern Oak-Leach, Comb-Leaf Oak-Leach, Sticky False Foxglove, Comb-Leaf Yellow False Foxglove"
Aureolaria virginica,"Downy Oak-Leach, Downy False Foxglove, Downy Yellow False Foxglove"
Avena fatua,Wild Oats
Avena sativa,Common Oats
Axonopus compressus,"Broadleaf Carpetgrass, Tropical Carpetgrass, Wide-Leaf Carpetgrass, Flat-Joint Carpet Grass"
Axonopus fissifolius,"Common Carpetgrass, Narrowleaf Carpetgrass, Southern Carpetgrass"
Axonopus furcatus,Big Carpetgrass
Azolla caroliniana,"Eastern Mosquito Fern, Carolina Mosquito Fern, Water Fern"
Baccharis angustifolia,Saltwater False Willow
Baccharis glomeruliflora,"Silverling, Groundsel-Bush, Salt-Myrtle"
Baccharis halimifolia,"Groundsel-Tree, Consumption-Weed, Sea-Myrtle"
Bacopa caroliniana,"Blue Water-Hyssop, Sweet Water-Hyssop, Carolina Water-Hyssop"
Bacopa innominata,Tropical Water-Hyssop
Bacopa monnieri,"Herb-Of-Grace, Smooth Water-Hyssop, Monnier's Water-Hyssop, Coastal Water-Hyssop, Brahmi"
Bacopa rotundifolia,"Disk Water-Hyssop, Midwestern Water-Hyssop, Roundleaf Water-Hyssop"
Balduina angustifolia,Coastal-Plain Honeycomb-Head
Balduina atropurpurea,Purple-Disk Honeycomb-Head
Balduina uniflora,"One-Flower Honeycomb-Head, Savannah Honeycomb-Head"
Ballota nigra ssp. foetida,Black-Horehound
Baptisia alba var. alba,"White Wild Indigo, Thick-Pod White Wild Indigo, White False Indigo"
Baptisia alba var. macrophylla,"Large-Leaf Wild Indigo, Plains Wild Indigo, Prairie False Indigo"
Baptisia albescens,"Spiked Wild Indigo, Narrow-Pod White Wild Indigo"
Baptisia australis var. aberrans,"Glade Blue Wild Indigo, Prairie Blue Wild Indigo"
Baptisia bracteata,"Long-Bract Wild Indigo, Cream Wild Indigo, Cream False Indigo"
Baptisia hirsuta,"Hairy Wild Indigo, Panhandle Wild Indigo"
Baptisia lanceolata var. tomentosa,Tomentose Gopherweed
Baptisia megacarpa,"Apalachicola Wild Indigo, Bigpod Wild Indigo"
Baptisia perfoliata,Catbells
Barbarea verna,"Early Winter-Cress, Early Yellow-Rocket, Scurvy-Grass"
Barbarea vulgaris,"Garden Yellow-Rocket, Common Winter-Cress, Bitter Winter-Cress, Cressy-Greens"
Bartonia paniculata,"Twining Screwstem, Screw-Stem Bartonia"
Bartonia verna,"White Screwstem, Spring Bartonia, White Bartonia"
Bartonia virginica,"Yellow Screwstem, Yellow Bartonia"
Basella alba,"Ceylon-Spinach, Malabar-Spinach, Chinese-Spinach"
Bassia scoparia,"Summer-Cypress, Burning-Bush, Kochia, Mexican Fireweed"
Batis maritima,"Turtleweed, Saltwort, Beachwort"
Begonia cucullata,"Clubbed Begonia, Wax Begonia"
Berberis canadensis,"American Barberry, Allegheny Barberry"
Berberis julianiae,"Wintergreen Barberry, Evergreen Barberry"
Berberis thunbergii,Japanese Barberry
Berchemia scandens,"Rattan-Vine, Alabama Supplejack, American Rattan"
Berlandiera pumila,"Eastern Greeneyes, Soft Greeneyes"
Betula lenta,"Sweet Birch, Cherry Birch"
Betula nigra,"River Birch, Red Birch"
Bidens aristosa,"Bearded Beggarticks, Midwestern Tickseed-Sunflower"
Bidens bipinnata,Spanish-Needles
Bidens cernua,"Nodding Bur-Marigold, Nodding Beggarticks"
Bidens discoidea,"Small Beggarticks, Swamp Beggarticks, Few-Bract Beggarticks"
Bidens frondosa,"Devil’s Beggarticks, Devil’s-Pitchfork, Stick-Tight"
Bidens laevis,"Smooth Bur-Marigold, Smooth Beggarticks, Showy Bur-Marigold"
Bidens mitis,"Small-Fruit Beggarticks, Coastal-Plain Tickseed-Sunflower, Florida-Marigold"
Bidens pilosa,"Hairy Beggarticks, Shepherd’s-Needles, Butterfly-Needles, White Beggar-Ticks"
Bidens polylepis,"Awnless Beggarticks, Tickseed-Sunflower"
Bidens trichosperma,"Crowned Beggarticks, Northern Tickseed-Sunflower"
Bidens tripartita,Three-Lobe Beggarticks
Bidens vulgata,Tall Beggarticks
Bifora americana,Prairie-Bishop
Bigelowia nudata,Pineland Rayless-Goldenrod
Bigelowia nuttallii,Nuttall’s Rayless-Goldenrod
Bignonia capreolata,"Crossvine, Quartervine"
Blechnum serrulatum,"Swamp Fern, Toothed Midsorus Fern"
Blephilia ciliata,"Downy Wood Mint, Downy Pagoda-Plant, Ohio Horsemint"
Blephilia hirsuta,"Hairy Wood Mint, Hairy Pagoda-Plant"
Blephilia subnuda,"Cumberland Wood Mint, Smooth Wood Mint, Cumberland Pagoda-Plant"
Boechera canadensis,"Sicklepod, North American Rockcress, Canadian Rockcress"
Boechera laevigata,Smooth Rockcress
Boechera patens,Spreading Rockcress
Boehmeria cylindrica,Small-Spike False Nettle
Boehmeria nivea,"Ramie, Chinese-Grass, Chinese Silkplant"
Boerhavia coccinea,"Scarlet Spiderling, Wine-Flower"
Boerhavia diffusa,"Red Spiderling, Spreading Hogweed"
Boerhavia erecta,"Erect Spiderling, Erect Tar-Vine"
Bolboschoenus fluviatilis,"River Bulrush, River Club-Rush"
Bolboschoenus novae-angliae,"New England Bulrush, New England Club-Rush"
Bolboschoenus robustus,"Seacoast Bulrush, Sturdy Bulrush, Saltmarsh Bulrush, Seaside Club-Rush, Stout Bulrush"
Boltonia asteroides,"White Doll’s-Daisy, Eastern Doll’s-Daisy, False Aster"
Boltonia diffusa,"Small-Head Doll’s-Daisy, Southern Doll’s-Daisy"
Borrichia frutescens,"Seaside Oxeye, Bushy Seaside-Tansy"
Bothriochloa ischaemum var. songarica,"King Ranch Bluestem, Turkestan Beardgrass, Yellow Bluestem"
